method,kl_div,seed,p,n
cslearn+pc (map),0.2279172197891601,5,20,10000
cslearn+pc (map),0.7025858850371715,6,20,10000
cslearn+pc (map),0.4857524870396552,7,20,10000
cslearn+pc (map),0.4468277125020543,8,20,10000
cslearn+pc (map),0.629042556177955,9,20,10000
cslearn+pc (map),0.4882498378515118,10,20,10000
cslearn+pc (mle),0.237888037779702,1,20,10000
cslearn+pc (mle),0.4347181838679911,2,20,10000
cslearn+pc (mle),0.5690285120241041,3,20,10000
cslearn+pc (mle),0.475419700116296,4,20,10000
cslearn+pc (mle),0.2279233379697368,5,20,10000
cslearn+pc (mle),0.7025924556561308,6,20,10000
cslearn+pc (mle),0.4857558992184663,7,20,10000
cslearn+pc (mle),0.4468266049940365,8,20,10000
cslearn+pc (mle),0.6290493963138865,9,20,10000
cslearn+pc (mle),0.488394952638651,10,20,10000
pc (mle),0.0025234033835475,1,5,10000
pc (mle),0.0292113915872484,2,5,10000
pc (mle),0.0079132212495771,3,5,10000
pc (mle),0.0070532185509626,4,5,10000
pc (mle),0.0009389010488758,5,5,10000
pc (mle),0.0010111870903162,6,5,10000
pc (mle),0.0010564865658262,7,5,10000
pc (mle),0.0011773909887228,8,5,10000
pc (mle),0.0290671708120276,9,5,10000
pc (mle),0.0009149222668564,10,5,10000
pc (mle),0.0017818277113854,1,7,10000
pc (mle),0.0133438278893724,2,7,10000
pc (mle),0.0519084473784692,3,7,10000
pc (mle),0.0212067109100817,4,7,10000
pc (mle),0.0041928148392009,5,7,10000
pc (mle),0.0015393285589466,6,7,10000
pc (mle),0.1646829562377453,7,7,10000
pc (mle),0.5038859956235664,8,7,10000
pc (mle),0.0010445360793021,9,7,10000
pc (mle),0.0631728530499008,10,7,10000
pc (mle),0.1821994774409497,1,10,10000
pc (mle),0.0302597424486749,2,10,10000
pc (mle),0.0982833780188363,3,10,10000
pc (mle),0.525947953066249,4,10,10000
pc (mle),0.5706854890055467,5,10,10000
pc (mle),0.0546048624708229,6,10,10000
pc (mle),0.0498038999532505,7,10,10000
pc (mle),0.8018678074661489,8,10,10000
pc (mle),0.0183924809811191,9,10,10000
pc (mle),0.0312202942608232,10,10,10000
pc (mle),5.960673264491095,1,15,10000
pc (mle),4.904232323773843,2,15,10000
pc (mle),4.014470367894918,3,15,10000
pc (mle),3.255327558544705,4,15,10000
pc (mle),6.362962884749253,5,15,10000
pc (mle),3.970854533781385,6,15,10000
pc (mle),3.1241459995452745,7,15,10000
pc (mle),4.415864042186643,8,15,10000
pc (mle),2.46145164667966,9,15,10000
pc (mle),3.980656828704481,10,15,10000
pc (mle),7.153148761844899,1,20,10000
pc (mle),7.022120647525771,2,20,10000
pc (mle),5.06095231326448,3,20,10000
pc (mle),5.668605295393777,4,20,10000
pc (mle),6.253839190278434,5,20,10000
pc (mle),5.51274086614371,6,20,10000
pc (mle),9.522857959698843,7,20,10000
pc (mle),5.759312319258862,8,20,10000
pc (mle),7.068649460227028,9,20,10000
pc (mle),4.763855903672573,10,20,10000
